rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/clip_fraction,train/value_loss,train/learning_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss
9.17,2086,0,2048,19.0,1,,,,,,,,,,
7.36,1385,2,4096,28.8,2,0.055810546875,2084.6582122802733,0.0003,-2.1941342681646345,10,-0.0005717277526855469,0.004024968,-0.00763750101759797,0.15,1342.548828125
8.14,1249,4,6144,32.05,3,0.01123046875,2336.981008529663,0.0003,-2.1910035446286202,20,0.003191053867340088,0.00377182,-0.003993659462139476,0.15,1017.8197021484375
8.12,1191,6,8192,23.78,4,0.06943359375,2194.3084098815916,0.0003,-2.1864889211952687,30,-0.001044154167175293,0.0041714464,-0.007949105954321568,0.15,1071.25537109375
8.53,1152,8,10240,29.87,5,0.06025390625,2054.0564453125,0.0003,-2.1791105046868324,40,9.512901306152344e-05,0.0038129021,-0.009094089550490025,0.15,1015.7057495117188
7.44,1124,10,12288,32.29,6,0.066748046875,1974.3046314239502,0.0003,-2.164091557264328,50,0.00400930643081665,0.0042474894,-0.01042248679586919,0.15,840.5917358398438
8.13,1104,12,14336,21.33,7,0.051611328125,2148.9168453216553,0.0003,-2.15424472540617,60,0.006733953952789307,0.005027622,-0.008037270995555446,0.15,920.302001953125
7.26,1088,15,16384,34.86,8,0.054443359375,2052.037297821045,0.0003,-2.1408495388925077,70,0.004760801792144775,0.004932804,-0.009043932714848778,0.15,843.650146484375
7.19,1077,17,18432,29.3,9,0.046728515625,1901.5287021636964,0.0003,-2.124184409528971,80,0.043000996112823486,0.0054111793,-0.006774932035477832,0.15,983.1356201171875
7.18,1071,19,20480,34.93,10,0.021142578125,1999.699200820923,0.0003,-2.113689994812012,90,0.018414080142974854,0.0035049072,-0.004439760479726829,0.15,918.99072265625
7.42,1056,21,22528,42.27,11,0.018408203125,2023.7076896667481,0.0003,-2.106595104932785,100,0.043248891830444336,0.0031408751,-0.00575884850404691,0.15,917.8366088867188
9.06,1048,23,24576,27.11,12,0.053955078125,2162.852095413208,0.0003,-2.0956658631563188,110,-0.03158295154571533,0.0044783447,-0.007286605668195989,0.15,1078.199462890625
8.24,1042,25,26624,34.04,13,0.055322265625,2026.7967945098876,0.0003,-2.0724714785814284,120,0.01295381784439087,0.004966263,-0.007178583511267789,0.15,942.3328857421875
7.38,1037,27,28672,50.92,14,0.07275390625,1875.7436367034911,0.0003,-2.050804018974304,130,0.06352943181991577,0.0053282483,-0.007822172102169133,0.15,987.4899291992188
7.65,1025,29,30720,35.07,15,0.0619140625,1928.382197189331,0.0003,-2.0238219972699882,140,0.06169396638870239,0.0047070635,-0.007685800557374023,0.15,930.8624877929688
8.47,1020,32,32768,42.33,16,0.055712890625,2042.9195201873779,0.0003,-1.9935076300054788,150,0.0916668176651001,0.004257405,-0.007652795703324955,0.15,1086.750244140625
7.85,1014,34,34816,36.14,17,0.0291015625,1879.058489227295,0.0003,-1.9682118967175484,160,0.09620541334152222,0.0036528301,-0.005815705782151781,0.15,832.4862060546875
8.75,1006,36,36864,37.96,18,0.0314453125,2053.6864212036135,0.0003,-1.9690610282123089,170,0.08995950222015381,0.003824345,-0.00744603080820525,0.15,867.8938598632812
8.08,1006,38,38912,45.99,19,0.05107421875,1866.6090881347657,0.0003,-1.947440304607153,180,0.06547147035598755,0.0043089343,-0.008725856051023584,0.15,827.7222290039062
7.51,1004,40,40960,38.02,20,0.061865234375,1788.3659378051757,0.0003,-1.913180173188448,190,0.14494717121124268,0.0050426484,-0.008516754495212808,0.15,886.452392578125
8.07,1003,42,43008,56.43,21,0.066943359375,1910.158018875122,0.0003,-1.8769643060863017,200,0.14485013484954834,0.0040063676,-0.00841186623147223,0.15,793.52197265625
7.5,1000,45,45056,54.38,22,0.051513671875,1877.1620552062989,0.0003,-1.84200622998178,210,0.182722806930542,0.004348563,-0.008817951843957417,0.15,868.9779052734375
6.2,995,47,47104,53.94,23,0.060986328125,1809.8177764892578,0.0003,-1.8201099552214146,220,0.21110188961029053,0.0042726183,-0.008139556720561814,0.15,740.3224487304688
6.28,996,49,49152,52.84,24,0.0560546875,1921.7990501403808,0.0003,-1.8159998863935471,230,0.22279959917068481,0.004721529,-0.010310110228601843,0.15,974.2662963867188
7.51,997,51,51200,55.2,25,0.05810546875,1812.2069541931153,0.0003,-1.7620780285447837,240,0.25155311822891235,0.0048647886,-0.008507713064318523,0.15,843.02587890625
6.57,999,53,53248,56.32,26,0.065380859375,1748.3793460845948,0.0003,-1.767375747486949,250,0.28814518451690674,0.0051195426,-0.008772977866465225,0.15,659.1749267578125
6.06,999,55,55296,56.12,27,0.055517578125,1812.6159034729003,0.0003,-1.7190113116055727,260,0.2542462944984436,0.0039897957,-0.010016435798024758,0.15,795.4803466796875
5.79,998,57,57344,54.19,28,0.078564453125,1867.5016487121582,0.0003,-1.701732525229454,270,0.23213374614715576,0.0048112366,-0.010227066454535815,0.15,908.081298828125
6.01,997,59,59392,57.85,29,0.07724609375,1800.2691425323487,0.0003,-1.6954103279858828,280,0.2799501419067383,0.0045213755,-0.0075252524504321626,0.15,982.0787963867188
6.2,995,61,61440,64.2,30,0.052685546875,1706.2860549926759,0.0003,-1.6764047533273696,290,0.3046311140060425,0.0044560926,-0.007372820092132315,0.15,682.8067626953125
6.92,995,63,63488,55.11,31,0.06103515625,1590.3037872314453,0.0003,-1.631344661861658,300,0.33840036392211914,0.004665115,-0.008601221631397492,0.15,839.8671264648438
6.28,996,65,65536,57.34,32,0.05361328125,1564.9271892547608,0.0003,-1.6149434771388769,310,0.4215891361236572,0.004366921,-0.007557063797139563,0.15,829.616455078125
5.65,997,67,67584,76.58,33,0.075048828125,1644.9116197586059,0.0003,-1.548103354871273,320,0.31292110681533813,0.0049423864,-0.00974384229775751,0.15,711.564453125
5.67,998,69,69632,55.53,34,0.05673828125,1552.289896583557,0.0003,-1.521082993224263,330,0.3821452260017395,0.0046323384,-0.008859241858590394,0.15,1131.965576171875
5.81,999,71,71680,54.57,35,0.0443359375,1613.105474090576,0.0003,-1.5131221655756235,340,0.3264012932777405,0.0040968126,-0.007217024271085393,0.15,695.0280151367188
6.85,1000,73,73728,61.06,36,0.063623046875,1444.1390825271606,0.0003,-1.4681003004312516,350,0.37958043813705444,0.0041772285,-0.010425938888511154,0.15,576.6069946289062
5.1,1000,75,75776,69.75,37,0.066650390625,1450.557588005066,0.0003,-1.5130627360194921,360,0.4614270329475403,0.0049061934,-0.01052714579127496,0.15,490.7295227050781
4.8,1001,77,77824,68.2,38,0.0619140625,1541.45989112854,0.0003,-1.3867880109697581,370,0.3518713116645813,0.0046218466,-0.008508605635142885,0.15,697.90185546875
4.68,1000,79,79872,71.2,39,0.083154296875,1584.162836074829,0.0003,-1.3956631477922201,380,0.3365543484687805,0.0046541514,-0.009749547453247942,0.15,412.64886474609375
5.48,997,82,81920,72.37,40,0.066455078125,1359.809931564331,0.0003,-1.3300976280122996,390,0.3625262379646301,0.005270583,-0.010498814576567383,0.15,984.3405151367188
4.36,991,84,83968,81.93,41,0.05673828125,1389.6551971435547,0.0003,-1.3688149616122245,400,0.45679861307144165,0.0041636815,-0.007498929956636857,0.15,712.3643188476562
